deactivationReason,createdAt,code,jurisdiction,description,active,source,deactivatedAt,type,category,presentationOrder,updatedAt,id,created_date,updated_date,created_by_id,created_by,is_sample
"","2026-05-24T19:31:11.745Z","4541","*","Revenus différés — frais de service billetterie","true","D-060","","ACCOUNT","PASSIF_COURANT","63","2026-05-24T19:31:11.745Z","6a13520099c05f6eb825c6cf","2026-05-24T19:31:12.047000","2026-05-24T19:31:12.047000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:11.587Z","4540","*","Revenus différés billetterie","true","D-060","","ACCOUNT","PASSIF_COURANT","62","2026-05-24T19:31:11.587Z","6a1351ff53a1998c8f398e77","2026-05-24T19:31:11.860000","2026-05-24T19:31:11.860000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:11.446Z","4535","*","Revenus différés SaaS / memberships","true","D-060","","ACCOUNT","PASSIF_COURANT","61","2026-05-24T19:31:11.446Z","6a1351ff7615209bdf08c1b0","2026-05-24T19:31:11.709000","2026-05-24T19:31:11.709000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:11.314Z","4530","*","Revenus différés événementiels (commissions MR en escrow)","true","D-060","","ACCOUNT","PASSIF_COURANT","60","2026-05-24T19:31:11.314Z","6a1351ff7615209bdf08c1af","2026-05-24T19:31:11.570000","2026-05-24T19:31:11.570000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:11.103Z","4370","*","Commandites à remettre aux ayants droit","true","D-060","","ACCOUNT","PASSIF_COURANT","59","2026-05-24T19:31:11.103Z","6a1351ff1417f138c60c41a5","2026-05-24T19:31:11.426000","2026-05-24T19:31:11.426000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.899Z","4365","*","Commissions vendeurs billetterie à verser","true","D-060","","ACCOUNT","PASSIF_COURANT","58","2026-05-24T19:31:10.899Z","6a1351ff71ecb586aba64ff5","2026-05-24T19:31:11.223000","2026-05-24T19:31:11.223000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.761Z","4360","*","Commissions vendeurs commandites à verser","true","D-060","","ACCOUNT","PASSIF_COURANT","57","2026-05-24T19:31:10.761Z","6a1351ff71ecb586aba64ff4","2026-05-24T19:31:11.021000","2026-05-24T19:31:11.021000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.588Z","4350","*","Billetterie à remettre aux ayants droit","true","D-060","","ACCOUNT","PASSIF_COURANT","56","2026-05-24T19:31:10.588Z","6a1351fe9500533be71937a1","2026-05-24T19:31:10.884000","2026-05-24T19:31:10.884000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.450Z","4335","*","Fonds Stripe Connect non ventilés — clearing temporaire","true","D-060","","ACCOUNT","PASSIF_COURANT","55","2026-05-24T19:31:10.451Z","6a1351fe249c52d24fcba85c","2026-05-24T19:31:10.709000","2026-05-24T19:31:10.709000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.307Z","4330","*","Commissions vendeurs événementielles à verser","true","D-060","","ACCOUNT","PASSIF_COURANT","54","2026-05-24T19:31:10.307Z","6a1351fe43dcee41c16aea32","2026-05-24T19:31:10.583000","2026-05-24T19:31:10.583000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.169Z","4326","QC-CA","TVQ de tiers en transit (talent, billetterie, sponsor)","true","D-060","","ACCOUNT","PASSIF_COURANT","53","2026-05-24T19:31:10.169Z","6a1351fef943a9e2ab4190f3","2026-05-24T19:31:10.430000","2026-05-24T19:31:10.430000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:10.029Z","4325","QC-CA","TPS de tiers en transit (talent, billetterie, sponsor)","true","D-060","","ACCOUNT","PASSIF_COURANT","52","2026-05-24T19:31:10.029Z","6a1351fe1aa313fb1ca9a583","2026-05-24T19:31:10.293000","2026-05-24T19:31:10.293000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:09.853Z","4320","*","Cachets talents en attente J-30 / annulation anticipée","true","D-060","","ACCOUNT","PASSIF_COURANT","51","2026-05-24T19:31:09.853Z","6a1351feb81bba099423238f","2026-05-24T19:31:10.155000","2026-05-24T19:31:10.155000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:09.710Z","4310","*","Cachets talents nets à verser","true","D-060","","ACCOUNT","PASSIF_COURANT","50","2026-05-24T19:31:09.710Z","6a1351fdb6d417bc4bb44f2d","2026-05-24T19:31:09.972000","2026-05-24T19:31:09.972000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:09.564Z","4190","*","Frais Stripe différés — événements non complétés","true","D-060","","ACCOUNT","ACTIF_COURANT","43","2026-05-24T19:31:09.564Z","6a1351fd32707b749db78630","2026-05-24T19:31:09.827000","2026-05-24T19:31:09.827000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:09.401Z","4130","QC-CA","TVQ à récupérer (remboursement taxe intrants — RTI)","true","D-060","","ACCOUNT","ACTIF_COURANT","42","2026-05-24T19:31:09.401Z","6a1351fdb0fbb77623edb608","2026-05-24T19:31:09.681000","2026-05-24T19:31:09.681000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:09.259Z","4120","QC-CA","TPS à récupérer (crédit de taxe sur intrants — CTI)","true","D-060","","ACCOUNT","ACTIF_COURANT","41","2026-05-24T19:31:09.259Z","6a1351fd3a934da80a320fb9","2026-05-24T19:31:09.520000","2026-05-24T19:31:09.520000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:09.056Z","4110","*","Créances clients nettes","true","D-060","","ACCOUNT","ACTIF_COURANT","40","2026-05-24T19:31:09.056Z","6a1351fdeff46d49fd802828","2026-05-24T19:31:09.321000","2026-05-24T19:31:09.321000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:08.884Z","2900","*","Autres actifs LT","true","D-060","","ACCOUNT","ACTIF_LT","37","2026-05-24T19:31:08.884Z","6a1351fdc70407f1d543c637","2026-05-24T19:31:09.146000","2026-05-24T19:31:09.146000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:08.724Z","2700","*","Goodwill net","true","D-060","","ACCOUNT","ACTIF_LT","36","2026-05-24T19:31:08.724Z","6a1351fda01a8ffd13302a07","2026-05-24T19:31:09.001000","2026-05-24T19:31:09.001000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:08.558Z","2610","*","Amortissement cumulé — immobilisations corporelles","true","D-060","","ACCOUNT","ACTIF_LT","35","2026-05-24T19:31:08.558Z","6a1351fc440e6c01391eb540","2026-05-24T19:31:08.846000","2026-05-24T19:31:08.846000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:08.421Z","2600","*","PP&E (immobilisations corporelles)","true","D-060","","ACCOUNT","ACTIF_LT","34","2026-05-24T19:31:08.421Z","6a1351fc738370a2bfd5dde3","2026-05-24T19:31:08.678000","2026-05-24T19:31:08.678000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:08.291Z","2300","*","Investissements LT","true","D-060","","ACCOUNT","ACTIF_LT","33","2026-05-24T19:31:08.291Z","6a1351fcede5098eb1999624","2026-05-24T19:31:08.544000","2026-05-24T19:31:08.544000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:08.143Z","2200","*","Dépôts et garanties versés","true","D-060","","ACCOUNT","ACTIF_LT","32","2026-05-24T19:31:08.143Z","6a1351fc84d3e37f4749e36a","2026-05-24T19:31:08.413000","2026-05-24T19:31:08.413000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.954Z","2110","*","Amortissement cumulé — logiciels (contre-actif)","true","D-060","","ACCOUNT","ACTIF_LT","31","2026-05-24T19:31:07.955Z","6a1351fc47a8a0602e62a497","2026-05-24T19:31:08.266000","2026-05-24T19:31:08.266000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.814Z","2100","*","Actifs incorporels (logiciels développés)","true","D-060","","ACCOUNT","ACTIF_LT","30","2026-05-24T19:31:07.814Z","6a1351fc0c6af08b4a32809e","2026-05-24T19:31:08.074000","2026-05-24T19:31:08.074000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.666Z","1900","*","Autres passifs LT","true","D-060","","ACCOUNT","PASSIF_LT","23","2026-05-24T19:31:07.666Z","6a1351fb5620fd5a71b49e89","2026-05-24T19:31:07.936000","2026-05-24T19:31:07.936000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.514Z","1800","*","Intérêts minoritaires","true","D-060","","ACCOUNT","PASSIF_LT","22","2026-05-24T19:31:07.514Z","6a1351fbefe8135146a9e433","2026-05-24T19:31:07.788000","2026-05-24T19:31:07.788000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.379Z","1700","*","Impôt différé","true","D-060","","ACCOUNT","PASSIF_LT","21","2026-05-24T19:31:07.379Z","6a1351fb156f59f1ba8dae42","2026-05-24T19:31:07.640000","2026-05-24T19:31:07.640000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.234Z","1600","*","Dette long terme","true","D-060","","ACCOUNT","PASSIF_LT","20","2026-05-24T19:31:07.234Z","6a1351fb9a820f8143b96cbc","2026-05-24T19:31:07.501000","2026-05-24T19:31:07.501000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:07.082Z","1400","*","Actions propres (treasury stock)","true","D-060","","ACCOUNT","CAPITAUX_PROPRES","14","2026-05-24T19:31:07.082Z","6a1351fb7c70598d0a1ba1f3","2026-05-24T19:31:07.355000","2026-05-24T19:31:07.355000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:06.921Z","1300","*","Résultat net de l'exercice (compte de clôture)","true","D-060","","ACCOUNT","CAPITAUX_PROPRES","13","2026-05-24T19:31:06.921Z","6a1351fb1a6580ab978739a6","2026-05-24T19:31:07.180000","2026-05-24T19:31:07.180000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:06.766Z","1200","*","Bénéfices non distribués","true","D-060","","ACCOUNT","CAPITAUX_PROPRES","12","2026-05-24T19:31:06.766Z","6a1351fb1166458c1407b407","2026-05-24T19:31:07.042000","2026-05-24T19:31:07.042000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:06.572Z","1150","*","Actions préférentielles","true","D-060","","ACCOUNT","CAPITAUX_PROPRES","11","2026-05-24T19:31:06.572Z","6a1351fa0f05779667648cdb","2026-05-24T19:31:06.883000","2026-05-24T19:31:06.883000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
"","2026-05-24T19:31:06.404Z","1100","*","Actions ordinaires + primes d'émission","true","D-060","","ACCOUNT","CAPITAUX_PROPRES","10","2026-05-24T19:31:06.412Z","6a1351fa8a6b47b856b4afbd","2026-05-24T19:31:06.682000","2026-05-24T19:31:06.682000","6a09b5c6ace6051fecd365af","frederik.gelin@gmail.com","false"
